timestamp,broker,symbol,bid,ask,spread,spread_points,session,day_of_week
2026-01-16 10:48:22,FPMarkets Raw,XAUUSD,4602.6,4602.67,0.07,7,London,Friday
2026-01-16 10:49:08,Pepperstone Razor,XAUUSD,4602.05,4602.28,0.23,23,London,Friday
2026-01-16 10:49:11,FusionMarkets Zero,XAUUSD,4602.45,4602.57,0.12,12,London,Friday
2026-01-16 10:49:15,ThinkMarkets ThinkZero,XAUUSD,4602.52,4602.6,0.08,8,London,Friday
2026-01-16 10:49:17,ICMarkets Raw,XAUUSD,4602.14,4602.24,0.1,10,London,Friday
2026-01-16 10:49:20,VantageMarkets Raw,XAUUSD,4602.08,4602.16,0.08,8,London,Friday
2026-01-16 10:49:23,FPMarkets Raw,XAUUSD,4602.24,4602.31,0.07,7,London,Friday
2026-01-16 10:50:08,Pepperstone Razor,XAUUSD,4602.94,4603.11,0.17,17,London,Friday
2026-01-16 10:50:11,FusionMarkets Zero,XAUUSD,4603.12,4603.21,0.09,9,London,Friday
2026-01-16 10:50:14,ThinkMarkets ThinkZero,XAUUSD,4603.25,4603.33,0.08,8,London,Friday
2026-01-16 10:50:17,ICMarkets Raw,XAUUSD,4602.98,4603.04,0.06,6,London,Friday
2026-01-16 10:50:20,VantageMarkets Raw,XAUUSD,4602.69,4602.77,0.08,8,London,Friday
2026-01-16 10:50:23,FPMarkets Raw,XAUUSD,4602.49,4602.56,0.07,7,London,Friday
2026-01-16 10:51:08,Pepperstone Razor,XAUUSD,4603.12,4603.27,0.15,15,London,Friday
2026-01-16 10:51:11,FusionMarkets Zero,XAUUSD,4602.75,4602.86,0.11,11,London,Friday
2026-01-16 10:51:14,ThinkMarkets ThinkZero,XAUUSD,4602.94,4603.02,0.08,8,London,Friday
2026-01-16 10:51:17,ICMarkets Raw,XAUUSD,4602.92,4603.0,0.08,8,London,Friday
2026-01-16 10:51:20,VantageMarkets Raw,XAUUSD,4603.2,4603.28,0.08,8,London,Friday
2026-01-16 10:51:23,FPMarkets Raw,XAUUSD,4603.4,4603.47,0.07,7,London,Friday
2026-01-16 10:52:08,Pepperstone Razor,XAUUSD,4603.57,4603.83,0.26,26,London,Friday
2026-01-16 10:52:11,FusionMarkets Zero,XAUUSD,4603.35,4603.44,0.09,9,London,Friday
2026-01-16 10:52:15,ThinkMarkets ThinkZero,XAUUSD,4603.5,4603.58,0.08,8,London,Friday
2026-01-16 10:52:18,ICMarkets Raw,XAUUSD,4603.19,4603.26,0.07,7,London,Friday
2026-01-16 10:52:21,VantageMarkets Raw,XAUUSD,4603.17,4603.25,0.08,8,London,Friday
2026-01-16 10:52:24,FPMarkets Raw,XAUUSD,4603.31,4603.38,0.07,7,London,Friday
2026-01-16 10:53:08,Pepperstone Razor,XAUUSD,4604.42,4604.61,0.19,19,London,Friday
2026-01-16 10:53:11,FusionMarkets Zero,XAUUSD,4604.62,4604.71,0.09,9,London,Friday
2026-01-16 10:53:15,ThinkMarkets ThinkZero,XAUUSD,4604.39,4604.47,0.08,8,London,Friday
2026-01-16 10:53:18,ICMarkets Raw,XAUUSD,4604.76,4604.82,0.06,6,London,Friday
2026-01-16 10:53:21,VantageMarkets Raw,XAUUSD,4604.75,4604.83,0.08,8,London,Friday
2026-01-16 10:53:24,FPMarkets Raw,XAUUSD,4604.87,4604.94,0.07,7,London,Friday
2026-01-16 10:54:08,Pepperstone Razor,XAUUSD,4605.62,4605.79,0.17,17,London,Friday
2026-01-16 10:54:18,FusionMarkets Zero,XAUUSD,4606.13,4606.2,0.07,7,London,Friday
2026-01-16 10:54:22,ThinkMarkets ThinkZero,XAUUSD,4606.33,4606.41,0.08,8,London,Friday
2026-01-16 10:54:25,ICMarkets Raw,XAUUSD,4606.13,4606.19,0.06,6,London,Friday
2026-01-16 10:54:28,VantageMarkets Raw,XAUUSD,4606.11,4606.19,0.08,8,London,Friday
2026-01-16 10:54:31,FPMarkets Raw,XAUUSD,4606.91,4606.98,0.07,7,London,Friday
2026-01-16 10:55:08,Pepperstone Razor,XAUUSD,4606.83,4607.04,0.21,21,London,Friday
2026-01-16 10:55:12,FusionMarkets Zero,XAUUSD,4606.76,4606.94,0.18,18,London,Friday
2026-01-16 10:55:15,ThinkMarkets ThinkZero,XAUUSD,4606.71,4606.79,0.08,8,London,Friday
